ID;YTID;start_second;end_second;positive_labels
FR_LC_1;8tOLarcxPT4;2;12;fr_warningbell
FR_LC_2;8tOLarcxPT4;29;39;fr_warningbell
FR_LC_3;F6tcSBfGUto;49;59;fr_warningbell
FR_LC_4;FFWBacZnCiM;1;11;fr_warningbell
FR_LC_5;6L2-2qaa-8A;6;16;fr_warningbell
FR_LC_6;f3ipHguRnzE;1;11;fr_warningbell
FR_LC_7;xVVsSmmJc0k;2;12;fr_warningbell
FR_LC_8;eMSVzi25m5c;2;12;fr_warningbell
FR_LC_9;Bo_LWhFio6c;2;12;fr_warningbell
FR_LC_10;OpQ6rmOHkTg;2;12;fr_warningbell
FR_LC_11;bOgT0F0rCBs;2;12;fr_warningbell
FR_LC_12;RGxbZG82Mq0;2;12;fr_warningbell
FR_LC_13;0AEAwIfpSic;2;12;fr_warningbell
FR_LC_14;yMM252i83VU;2;12;fr_warningbell
FR_LC_15;ZqXuZMQEjDM;3;13;fr_warningbell
FR_LC_16;Zb9nECK7BLo;2;12;fr_warningbell
FR_LC_17;2DV0_ZKvyM0;2;12;fr_warningbell
FR_LC_18;gj9U0vdUc7c;3;13;fr_warningbell
FR_LC_19;OqT2tMyaTWk;3;13;fr_warningbell
FR_LC_20;94MJvewfMU4;3;13;fr_warningbell
FR_LC_21;dsNKsM4BVLI;3;13;fr_warningbell
FR_LC_22;B2oKPClxG4A;3;13;fr_warningbell
FR_LC_23;DZngiMCRzlo;24;34;fr_warningbell
FR_LC_24;0c4aU684HLA;4;14;fr_warningbell
FR_LC_25;-PsLg3RmTwM;3;13;fr_warningbell
FR_LC_26;wx9iTofBqfI;3;13;fr_warningbell
FR_LC_27;U4XdMz8rUgg;3;13;fr_warningbell
FR_LC_28;GIVU-g58rp4;7;17;fr_warningbell
FR_LC_29;bwFYL9zp0fs;3;13;fr_warningbell
FR_LC_30;p_-zQSJesAY;3;13;fr_warningbell
DE_LC_1;9eOf_B7cFGM;3;13;de_warningbell
DE_LC_2;9eOf_B7cFGM;20;30;de_warningbell
DE_LC_3;Qe39MgTOQLs;37;47;de_warningbell
DE_LC_4;QrpEqTHJS4M;7;17;de_warningbell
DE_LC_5;QrpEqTHJS4M;21;31;de_warningbell
DE_LC_6;Knmd95xVhPo;10;20;de_warningbell
DE_LC_7;Knmd95xVhPo;25;35;de_warningbell
DE_LC_8;Knmd95xVhPo;45;55;de_warningbell
DE_LC_9;lmd8zQhwj00;15;25;de_warningbell
DE_LC_10;lmd8zQhwj00;30;40;de_warningbell
DE_LC_11;lmd8zQhwj00;45;55;de_warningbell
DE_LC_12;FKQ9x7K2ADk;8;18;de_warningbell
DE_LC_13;O0H7lronVog;12;22;de_warningbell
DE_LC_14;O0H7lronVog;26;36;de_warningbell
DE_LC_15;OPXTV7TF6f8;3;13;de_warningbell
DE_LC_16;OPXTV7TF6f8;17;27;de_warningbell
DE_LC_17;5BqGYQHC3_A;60;70;de_warningbell
DE_LC_18;5BqGYQHC3_A;193;203;de_warningbell
DE_LC_19;OVtDNareM7k;40;50;de_warningbell
DE_LC_20;Or5jdIjNzCs;16;26;de_warningbell
DE_LC_21;Or5jdIjNzCs;33;43;de_warningbell
DE_LC_22;Or5jdIjNzCs;196;206;de_warningbell
DE_LC_23;Or5jdIjNzCs;219;229;de_warningbell
DE_LC_24;xSUWVEvxsco;51;61;de_warningbell
DE_LC_25;xSUWVEvxsco;300;310;de_warningbell
DE_LC_26;H0b6hdwZqWU;20;30;de_warningbell
DE_LC_27;H0b6hdwZqWU;246;256;de_warningbell
DE_LC_28;H0b6hdwZqWU;261;271;de_warningbell
DE_LC_29;H0b6hdwZqWU;477;487;de_warningbell
DE_LC_30;H0b6hdwZqWU;490;500;de_warningbell
