ID;YTID;start_second;end_second;positive_labels
TR_6;--cB2ZVjpnA;30;40;/m/01y3hg
TR_34;-4RWqM0UCCY;0;10;/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9
TR_81;-9ek6eO0RtI;260;270;/m/03wwcy
TR_87;-BAF0DHMqVA;130;140;/m/0395lw
TR_118;-EDGR1davAc;40;50;/m/0gy1t2s
TR_125;-FEPOSP7ay0;260;270;/m/0395lw
TR_127;-FT5MbWPCzg;540;550;/m/03w41f
TR_243;-VI2IRq17rs;360;370;/m/0395lw
TR_263;-Y1qiiugnk8;30;40;/m/012n7d,/m/03j1ly,/m/03kmc9
TR_277;-_dElQcyJnA;30;40;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_289;-cUFMQCB2dA;270;280;/m/0239kh
TR_317;-gKNRXbpAKs;30;40;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/0dgbq
TR_373;-oSw8wNpLcY;60;70;/m/03kmc9
TR_449;-z47zN0YyE4;420;430;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_472;01bTS8O2Xnc;18;28;/m/01hnzm
TR_487;02rLonMSO9k;60;70;/m/01y3hg
TR_492;03NLMEMi8-I;30;40;/m/03kmc9,/m/0dgbq
TR_498;04JKX_vlePE;90;100;/m/01y3hg
TR_585;0HqSxnJEXxA;0;10;/m/0gy1t2s
TR_586;0Hz4R_m0hmI;80;90;/m/02mfyn
TR_666;0SuL-BgsmAs;0;10;/m/0gy1t2s
TR_741;0amHVSbkaX8;60;70;/m/07pp_mv,/m/0c3f7m
TR_762;0dkcl7MGFyA;170;180;/m/0gy1t2s
TR_829;0ng703aLhXs;17;27;/m/07pp_mv
TR_831;0npLQ4LzD0c;40;50;/m/02mfyn
TR_871;0uLSjMXfurI;60;70;/m/0gy1t2s
TR_893;0y3tr-QUGY0;50;60;/m/046dlr
TR_913;1IlgE0S4t3E;270;280;/m/0395lw
TR_1007;1GG3QoDNLFM;30;40;/m/0c3f7m
TR_1119;1WFLYqsLvv0;0;10;/m/01y3hg,/m/0c3f7m
TR_1185;1deAcOaQ5xg;10;20;/m/0gy1t2s
TR_1240;1l7BjFDQLUM;90;100;/m/0395lw
TR_1496;2Pq9c0tFt1g;30;40;/m/012n7d,/m/03j1ly,/m/03kmc9
TR_1612;2dg-FzsutXw;290;300;/m/0150b9
TR_1645;2iJrP2mUmRk;0;10;/m/0239kh
TR_1683;2oT1tf8FRoU;260;270;/m/03kmc9,/m/0dgbq
TR_1717;2tzmsEX6Jf8;40;50;/m/01hnzm
TR_1820;385OLsVRaAU;10;20;/m/02mfyn
TR_2018;3cWI2BD9A1s;90;100;/m/046dlr
TR_2021;3cugy18s-PI;30;40;/m/02mfyn
TR_2107;3rWuqvyN4os;8;18;/m/01y3hg
TR_2128;3uZy0wkterE;30;40;/m/012ndj,/m/03j1ly,/m/03kmc9
TR_2175;41Sp2_BXM0U;240;250;/m/0c3f7m
TR_2178;42JYnpJ0ag4;100;110;/m/0239kh
TR_2211;49bFuWG2Qxw;150;160;/m/0239kh
TR_2221;4APBvMmKubU;10;20;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_2422;4c1omzV5pP8;90;100;/m/03wwcy
TR_2436;4ekovmvm3jM;30;40;/m/03kmc9,/m/0dgbq
TR_2478;4kyWH8eWP8M;30;40;/m/0395lw
TR_2487;4lflH2Jvm8k;30;40;/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9
TR_2559;4xcSq8UjPCI;30;40;/m/0c3f7m
TR_2566;4yub23Xuzos;150;160;/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq
TR_2641;58jj555jnTU;170;180;/m/0239kh
TR_2688;5DyTDvFvAmw;20;30;/m/01y3hg
TR_2692;5EbJQCFom8o;70;80;/m/0c3f7m
