ID;YTID;start_second;end_second;positive_labels
NA_1;sBDBeb2e5R0;2;12;traffic_n
NA_2;sBDBeb2e5R0;20;30;traffic_n
NA_3;sBDBeb2e5R0;35;45;traffic_n
NA_4;sBDBeb2e5R0;49;59;no_n
NA_5;wp9nYr2AfBA;0;10;traffic_n
NA_6;wp9nYr2AfBA;11;21;traffic_n
NA_7;wp9nYr2AfBA;29;39;no_n
NA_8;wp9nYr2AfBA;41;51;idle_n
NA_9;PWXjx51Z5Fg;0;10;no_n
NA_10;PWXjx51Z5Fg;12;22;no_n
NA_11;24rHIXeZVL0;36;46;idle_n
NA_12;krAYhoxd_es;50;60;no_n
NA_13;krAYhoxd_es;80;90;no_n
NA_14;krAYhoxd_es;120;130;no_n
NA_15;6T1aPdYlEL4;141;151;traffic_n
NA_16;rQmo36jTshU;40;50;traffic_n
NA_17;rQmo36jTshU;82;92;traffic_n
NA_18;rQmo36jTshU;93;103;traffic_n
NA_19;VqAujyE_uG8;40;50;idle_n
NA_20;VqAujyE_uG8;266;276;traffic_n
NA_21;riTBHXopa1I;0;10;traffic_n
NA_22;riTBHXopa1I;60;70;idle_n
NA_23;riTBHXopa1I;156;166;traffic_n
NA_24;-rvc63Ez6DM;6;16;traffic_n
NA_25;-rvc63Ez6DM;17;27;traffic_n
NA_26;-rvc63Ez6DM;56;66;traffic_n
NA_27;-rvc63Ez6DM;74;84;traffic_n
NA_28;-rvc63Ez6DM;85;95;traffic_n
NA_29;-rvc63Ez6DM;103;113;traffic_n
NA_30;-rvc63Ez6DM;129;139;traffic_n
NA_31;-rvc63Ez6DM;146;156;traffic_n
NA_32;-rvc63Ez6DM;157;167;traffic_n
NA_33;-rvc63Ez6DM;168;178;traffic_n
NA_34;-rvc63Ez6DM;195;205;traffic_n
NA_35;-rvc63Ez6DM;206;216;traffic_n
NA_36;-rvc63Ez6DM;220;230;traffic_n
NA_37;-rvc63Ez6DM;238;248;traffic_n
NA_38;-rvc63Ez6DM;249;259;traffic_n
NA_39;-rvc63Ez6DM;268;278;traffic_n
NA_40;-rvc63Ez6DM;280;290;traffic_n
NA_41;-rvc63Ez6DM;291;301;traffic_n
NA_42;-rvc63Ez6DM;302;312;traffic_n
NA_43;-rvc63Ez6DM;313;323;traffic_n
NA_44;-rvc63Ez6DM;343;353;traffic_n
NA_45;-rvc63Ez6DM;360;370;traffic_n
NA_46;-rvc63Ez6DM;371;381;traffic_n
NA_47;-rvc63Ez6DM;382;392;traffic_n
NA_48;-rvc63Ez6DM;393;403;traffic_n
NA_49;-rvc63Ez6DM;404;414;traffic_n
NA_50;-rvc63Ez6DM;426;436;traffic_n
NA_51;-rvc63Ez6DM;436;446;traffic_n
NA_52;-rvc63Ez6DM;449;459;traffic_n
NA_53;-rvc63Ez6DM;456;466;traffic_n
NA_54;-rvc63Ez6DM;475;485;traffic_n
NA_55;-rvc63Ez6DM;486;496;traffic_n
NA_56;-rvc63Ez6DM;497;507;traffic_n
NA_57;-rvc63Ez6DM;508;518;traffic_n
NA_58;-rvc63Ez6DM;519;529;traffic_n
NA_59;-rvc63Ez6DM;561;571;traffic_n
NA_60;-rvc63Ez6DM;574;584;traffic_n
NA_61;rE4TvQujSPw;33;43;no_n
NA_62;B2WPuyCfYSY;0;10;no_n
NA_63;B2WPuyCfYSY;11;21;no_n
NA_64;R2ejOT19XTQ;0;10;no_n
NA_65;R2ejOT19XTQ;11;21;no_n
NA_66;R2ejOT19XTQ;22;32;traffic_n
NA_67;R2ejOT19XTQ;90;100;traffic_n
NA_68;R2ejOT19XTQ;101;111;no_n
NA_69;R2ejOT19XTQ;112;122;traffic_n
NA_70;R2ejOT19XTQ;123;133;traffic_n
NA_71;8FYxxXuawS4;17;27;no_n
NA_72;8FYxxXuawS4;39;49;traffic_n
NA_73;RudyvPYtsyY;52;62;no_n
NA_74;RudyvPYtsyY;63;73;no_n
NA_75;RudyvPYtsyY;74;84;no_n
NA_76;RudyvPYtsyY;90;100;traffic_n
NA_77;RudyvPYtsyY;101;111;idle_n
NA_78;RudyvPYtsyY;112;122;idle_n
NA_79;RudyvPYtsyY;144;154;idle_n
NA_80;RudyvPYtsyY;185;195;idle_n
NA_81;RudyvPYtsyY;269;279;traffic_n
NA_82;Ma_kxM0I-BI;31;41;no_n
NA_83;Ma_kxM0I-BI;53;63;no_n
NA_84;WWKwSzqY1ho;0;10;no_n
NA_85;WWKwSzqY1ho;31;41;no_n
NA_86;WWKwSzqY1ho;45;55;no_n
NA_87;WWKwSzqY1ho;87;97;no_n
NA_88;n7olO4vJdyg;41;51;idle_n
NA_89;GYoG7X5NSn8;72;82;idle_n
NA_90;GYoG7X5NSn8;83;93;no_n
NA_91;GYoG7X5NSn8;94;104;traffic_n
NA_92;GYoG7X5NSn8;109;119;no_n
NA_93;An5bl1iWb-E;48;58;no_n
NA_94;An5bl1iWb-E;59;69;idle_n
NA_95;An5bl1iWb-E;138;148;traffic_n
NA_96;An5bl1iWb-E;149;159;traffic_n
NA_97;An5bl1iWb-E;175;185;traffic_n
NA_98;An5bl1iWb-E;186;196;no_n
NA_99;An5bl1iWb-E;217;227;no_n
NA_100;gCYoXRe7STU;22;32;no_n
NA_101;gCYoXRe7STU;34;44;no_n
NA_102;DzAVp6ZKYyA;60;70;no_n
NA_103;CCB53Y56JJs;39;49;no_n
NA_104;jvzeCr8hGXM;0;10;no_n
NA_105;jvzeCr8hGXM;11;21;no_n
NA_106;jvzeCr8hGXM;38;48;no_n
NA_107;NjKCaDv7OJU;200;210;traffic_n
NA_108;NjKCaDv7OJU;211;221;no_n
NA_109;NjKCaDv7OJU;222;232;no_n
NA_110;NjKCaDv7OJU;248;258;traffic_n
NA_111;-vzYuawp0CM;34;44;no_n
NA_112;-vzYuawp0CM;45;55;no_n
NA_113;-vzYuawp0CM;56;66;no_n
NA_114;-vzYuawp0CM;95;105;no_n
NA_115;-vzYuawp0CM;136;146;no_n
NA_116;-vzYuawp0CM;147;157;traffic_n
NA_117;J2ZFbGL8dbA;44;54;no_n
NA_118;J2ZFbGL8dbA;55;65;no_n
NA_119;J2ZFbGL8dbA;66;76;no_n
NA_120;J2ZFbGL8dbA;77;87;no_n
NA_121;J2ZFbGL8dbA;150;160;no_n
NA_122;GmiH2-Ket9Q;17;27;no_n
NA_123;GmiH2-Ket9Q;28;38;no_n
NA_124;GmiH2-Ket9Q;50;60;no_n
